n_tool_calls,unique_tools,most_common_tool,most_common_tool_pct,switching_rate,max_repetition_streak,run_id,crashed,crash_type
24,4,tool_check_inbox,0.75,0.5217391304347826,5,1771289278_42,False,
59,2,tool_check_inbox,0.9830508474576272,0.034482758620689655,55,1771289377_42,True,looping
112,2,tool_check_inbox,0.9821428571428571,0.036036036036036036,67,1771289381_42,True,looping
112,2,tool_check_inbox,0.9821428571428571,0.036036036036036036,74,1771289465_42,True,looping
11,4,tool_check_inbox,0.7272727272727273,0.6,3,1771289499_42,False,
163,4,tool_check_inbox,0.9325153374233128,0.12345679012345678,48,1771289583_42,True,looping
17,4,tool_check_inbox,0.7058823529411765,0.375,7,1771289666_42,True,looping
63,3,tool_check_inbox,0.9365079365079365,0.12903225806451613,49,1771289667_42,True,looping
22,2,tool_check_inbox,0.7272727272727273,0.5714285714285714,5,1771289729_42,False,
168,1,tool_check_inbox,1.0,0.0,168,1771289781_42,True,looping
112,1,tool_check_inbox,1.0,0.0,112,1771289825_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,31,1771289826_42,True,looping
155,4,tool_check_inbox,0.9419354838709677,0.11038961038961038,51,1771289866_42,True,looping
46,2,tool_check_inbox,0.9782608695652174,0.044444444444444446,42,1771289899_42,True,looping
53,4,tool_check_inbox,0.6792452830188679,0.5384615384615384,8,1771289978_42,True,looping
39,3,tool_check_inbox,0.6666666666666666,0.42105263157894735,10,1771290008_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771290039_42,True,looping
56,3,tool_check_inbox,0.9642857142857143,0.07272727272727272,27,1771290183_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,51,1771290185_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,44,1771290186_42,True,looping
67,3,tool_check_inbox,0.9552238805970149,0.09090909090909091,27,1771290215_42,True,looping
19,2,tool_check_inbox,0.9473684210526315,0.1111111111111111,16,1771290216_42,True,looping
151,4,tool_check_inbox,0.9602649006622517,0.06666666666666667,88,1771290245_42,True,looping
5,2,tool_order,0.6,0.75,2,1771290281_42,False,
18,2,tool_check_inbox,0.9444444444444444,0.11764705882352941,16,1771290369_42,True,looping
24,4,tool_check_inbox,0.75,0.5217391304347826,5,1771290373_42,True,looping
20,4,tool_check_inbox,0.7,0.5263157894736842,5,1771290432_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771290434_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771290468_42,True,looping
99,3,tool_check_inbox,0.9797979797979798,0.04081632653061224,41,1771290505_42,True,looping
28,3,tool_check_inbox,0.8928571428571429,0.2222222222222222,19,1771290540_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,52,1771290543_42,True,looping
56,3,tool_check_inbox,0.9464285714285714,0.10909090909090909,29,1771290608_42,True,looping
56,3,tool_check_inbox,0.9285714285714286,0.14545454545454545,20,1771290638_42,True,looping
37,4,tool_check_inbox,0.8918918918918919,0.16666666666666666,28,1771290709_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,45,1771290711_42,True,looping
39,4,tool_check_inbox,0.6666666666666666,0.4473684210526316,14,1771290747_42,True,looping
11,3,tool_check_inbox,0.6363636363636364,0.5,4,1771290748_42,False,
13,3,tool_check_inbox,0.8461538461538461,0.3333333333333333,5,1771290790_42,True,looping
50,2,tool_check_inbox,0.96,0.08163265306122448,31,1771290796_42,True,looping
168,3,tool_check_inbox,0.9880952380952381,0.023952095808383235,120,1771290821_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771290853_42,True,looping
112,2,tool_check_inbox,0.9553571428571429,0.09009009009009009,43,1771290891_42,True,looping
65,4,tool_check_inbox,0.9384615384615385,0.125,25,1771290971_42,True,looping
22,2,tool_check_inbox,0.8636363636363636,0.19047619047619047,10,1771291045_42,True,looping
44,2,tool_check_inbox,0.9545454545454546,0.09302325581395349,33,1771291052_42,True,looping
35,4,tool_check_inbox,0.7142857142857143,0.47058823529411764,8,1771291129_42,True,looping
23,4,tool_check_inbox,0.6521739130434783,0.5454545454545454,6,1771291134_42,True,looping
72,4,tool_check_inbox,0.9444444444444444,0.11267605633802817,20,1771291168_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,47,1771291169_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771291213_42,True,looping
112,2,tool_check_inbox,0.9732142857142857,0.05405405405405406,64,1771291249_42,True,looping
25,3,tool_check_inbox,0.92,0.16666666666666666,15,1771291337_42,True,looping
108,4,tool_check_inbox,0.9351851851851852,0.1308411214953271,24,1771291421_42,True,looping
81,4,tool_check_inbox,0.8888888888888888,0.2,30,1771291448_42,True,looping
37,4,tool_check_inbox,0.8378378378378378,0.3055555555555556,8,1771291478_42,True,looping
38,4,tool_check_inbox,0.6578947368421053,0.4864864864864865,5,1771291515_42,False,
56,1,tool_check_inbox,1.0,0.0,56,1771291585_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,51,1771291586_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,41,1771291614_42,True,looping
172,3,tool_check_inbox,0.9709302325581395,0.05847953216374269,61,1771291759_42,True,looping
56,2,tool_check_inbox,0.9642857142857143,0.07272727272727272,29,1771291845_42,True,looping
73,4,tool_check_inbox,0.8904109589041096,0.2222222222222222,16,1771291925_42,True,looping
61,4,tool_check_inbox,0.6557377049180327,0.5,7,1771291958_42,True,looping
16,3,tool_check_inbox,0.875,0.26666666666666666,12,1771291959_42,True,looping
14,4,tool_check_inbox,0.7142857142857143,0.38461538461538464,7,1771292036_42,True,looping
3,3,tool_check_budget,0.3333333333333333,1.0,1,1771292074_42,False,
56,1,tool_check_inbox,1.0,0.0,56,1771292077_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771292106_42,True,looping
35,2,tool_check_inbox,0.9714285714285714,0.058823529411764705,32,1771292207_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771292213_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771292249_42,True,looping
64,4,tool_check_inbox,0.890625,0.20634920634920634,32,1771292250_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,38,1771292295_42,True,looping
107,4,tool_check_inbox,0.9439252336448598,0.11320754716981132,27,1771292322_42,True,looping
61,4,tool_check_inbox,0.9508196721311475,0.1,25,1771292380_42,True,looping
52,4,tool_check_inbox,0.6730769230769231,0.5686274509803921,13,1771292408_42,True,looping
33,4,tool_check_inbox,0.696969696969697,0.53125,9,1771292409_42,True,looping
38,4,tool_check_inbox,0.8157894736842105,0.32432432432432434,11,1771292447_42,True,looping
6,2,tool_check_inbox,0.8333333333333334,0.2,5,1771292448_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771292568_42,True,looping
107,3,tool_check_inbox,0.9719626168224299,0.05660377358490566,36,1771292571_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,33,1771292607_42,True,looping
6,2,tool_check_inbox,0.6666666666666666,0.6,3,1771292654_42,False,
56,3,tool_check_inbox,0.9642857142857143,0.05454545454545454,34,1771292709_42,True,looping
24,3,tool_check_inbox,0.875,0.2608695652173913,13,1771292712_42,True,looping
78,4,tool_check_inbox,0.8717948717948718,0.24675324675324675,19,1771292757_42,True,looping
33,4,tool_check_inbox,0.7878787878787878,0.28125,22,1771292796_42,True,looping
24,3,tool_check_inbox,0.75,0.4782608695652174,5,1771292862_42,True,looping
17,3,tool_check_inbox,0.7058823529411765,0.5625,4,1771292886_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771292887_42,True,looping
112,2,tool_check_inbox,0.9910714285714286,0.018018018018018018,88,1771292944_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.01818181818181818,55,1771292946_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771293058_42,True,looping
95,4,tool_check_inbox,0.9052631578947369,0.1702127659574468,26,1771293209_42,True,looping
112,4,tool_check_inbox,0.9553571428571429,0.07207207207207207,67,1771293296_42,True,looping
27,4,tool_check_inbox,0.8888888888888888,0.23076923076923078,13,1771293337_42,True,looping
17,4,tool_check_inbox,0.7647058823529411,0.5,6,1771293338_42,True,looping
20,3,tool_check_inbox,0.85,0.3157894736842105,13,1771293419_42,True,looping
18,3,tool_check_inbox,0.7777777777777778,0.29411764705882354,10,1771293497_42,True,looping
14,2,tool_check_inbox,0.7857142857142857,0.46153846153846156,7,1771293565_42,True,looping
74,3,tool_check_inbox,0.9324324324324325,0.0958904109589041,33,1771293593_42,True,looping
